Model,loss,mse,psnr
Dense Autoencoder,0.1114061027765274,0.016035046428442,18.400115966796875
Conv2DTranspose Autoencoder,0.0953584536910057,0.0107877841219306,20.00082015991211
UpSampling2D Autoencoder,0.09376504272222519,0.01033749058842659,20.206796646118164
